Voltage A RMS,Average Voltage A RMS,Frequency,Average Frequency
211.35,211.35,60.0312,60.0312
213.49,212.42000000000002,59.9952,60.0132
210.57,211.8033333333333,59.9592,59.995200000000004
203.92,209.83249999999998,60.0312,60.0042
210.25,209.916,59.9952,60.0024
212.54,210.35333333333332,59.9592,59.995200000000004
205.67,209.68428571428572,60.0312,60.000342857142854
207.67,209.4325,59.9952,59.9997
210.36,209.53555555555556,59.9592,59.995200000000004
215.17,210.099,60.0312,59.998799999999996
207.42,209.85545454545453,59.9952,59.99847272727273
207.6,209.6675,59.9592,59.995200000000004
208.77,209.59846153846152,60.0168,59.99686153846154
209.21,209.57071428571427,60.0096,59.997771428571426
212.01,209.73333333333332,59.9592,59.9952
212.19,209.886875,60.0312,59.99745
212.34,210.0311764705882,59.9952,59.99731764705882
209.59,210.00666666666666,58.3737,59.90711666666667
205.1,209.74842105263156,61.6827,60.000568421052634
207.57,209.6395,60.0204,60.00156
210.63,209.68666666666667,59.9592,59.999542857142856
207.67,209.595,60.0168,60.000327272727276
208.65,209.55391304347825,60.0096,60.00073043478261
210.64,209.59916666666666,58.3737,59.9329375
212.36,209.7096,61.7094,60.003996
209.94,209.71846153846155,59.9952,60.00365769230769
206.69,209.60629629629628,59.9592,60.00201111111111
207.42,209.52821428571428,58.3737,59.94385714285714
212.62,209.63482758620688,61.7475,60.00605172413793
208.61,209.60066666666665,59.9592,60.004490000000004
211.36,209.6574193548387,60.0312,60.005351612903226
208.82,209.63125,58.3737,59.9543625
203.28,209.43878787878788,61.6713,60.00639090909091
209.67,209.4455882352941,60.0312,60.007120588235296
204.46,209.30314285714286,59.9952,60.00677999999999
211.19,209.35555555555555,59.9592,60.00545833333334
205.21,209.2435135135135,58.3737,59.96135675675676
212.31,209.3242105263158,60.0312,59.963194736842105
211.23,209.37307692307692,59.9952,59.96401538461538
214.95,209.5125,59.9592,59.963895
209.54,209.5131707317073,60.0312,59.965536585365854
205.02,209.40619047619046,59.9952,59.96624285714285
208.6,209.38744186046512,59.9592,59.966079069767446
209.33,209.38613636363635,60.0312,59.96755909090909
